priority,category,asset_id,incoming_path,expected_size,transparent,prompt,negative_prompt
batch_a_style_lock,support,greenfield_p0_style_mother,01_mother_images/style/greenfield_p0_style_mother.png,1200x760,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Create greenfield_p0_style_mother; exact canvas 1200x760 px; fully opaque complete review image.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_foreground_occlusion,02_runtime_exports/regions/home_area/layers/home_area_foreground_occlusion.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_foreground_occlusion; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_shadow_overlay,02_runtime_exports/regions/home_area/layers/home_area_shadow_overlay.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_shadow_overlay; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_light_weather_overlay_spring,02_runtime_exports/regions/home_area/layers/home_area_light_weather_overlay_spring.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_light_weather_overlay_spring; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_light_weather_overlay_summer,02_runtime_exports/regions/home_area/layers/home_area_light_weather_overlay_summer.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_light_weather_overlay_summer; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_light_weather_overlay_autumn,02_runtime_exports/regions/home_area/layers/home_area_light_weather_overlay_autumn.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_light_weather_overlay_autumn; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,home_area_light_weather_overlay_winter,02_runtime_exports/regions/home_area/layers/home_area_light_weather_overlay_winter.png,1470x1070,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for home_area_light_weather_overlay_winter; exact canvas 1470x1070 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_mother,village_painted_source,01_mother_images/regions/village/village_painted_source.png,1800x1200,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint a complete region source/review mother for village_painted_source; exact canvas 1800x1200 px; fully opaque complete review image; believable village-space layout, readable roads, props beside paths, no impossible overlaps.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_base_ground,02_runtime_exports/regions/village/layers/village_base_ground.png,1800x1200,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_base_ground; exact canvas 1800x1200 px; fully opaque complete review image; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_terrain_details,02_runtime_exports/regions/village/layers/village_terrain_details.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_terrain_details; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_behind_player_structures,02_runtime_exports/regions/village/layers/village_behind_player_structures.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_behind_player_structures; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_ysort_props_structures,02_runtime_exports/regions/village/layers/village_ysort_props_structures.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_ysort_props_structures; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_foreground_occlusion,02_runtime_exports/regions/village/layers/village_foreground_occlusion.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_foreground_occlusion; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_shadow_overlay,02_runtime_exports/regions/village/layers/village_shadow_overlay.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_shadow_overlay; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_light_weather_overlay_spring,02_runtime_exports/regions/village/layers/village_light_weather_overlay_spring.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_light_weather_overlay_spring; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_light_weather_overlay_summer,02_runtime_exports/regions/village/layers/village_light_weather_overlay_summer.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_light_weather_overlay_summer; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_light_weather_overlay_autumn,02_runtime_exports/regions/village/layers/village_light_weather_overlay_autumn.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_light_weather_overlay_autumn; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,village_light_weather_overlay_winter,02_runtime_exports/regions/village/layers/village_light_weather_overlay_winter.png,1800x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for village_light_weather_overlay_winter; exact canvas 1800x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_mother,back_farm_painted_source,01_mother_images/regions/back_farm/back_farm_painted_source.png,1600x1200,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint a complete region source/review mother for back_farm_painted_source; exact canvas 1600x1200 px; fully opaque complete review image; believable village-space layout, readable roads, props beside paths, no impossible overlaps.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_base_ground,02_runtime_exports/regions/back_farm/layers/back_farm_base_ground.png,1600x1200,False,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_base_ground; exact canvas 1600x1200 px; fully opaque complete review image; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_terrain_details,02_runtime_exports/regions/back_farm/layers/back_farm_terrain_details.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_terrain_details; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_behind_player_structures,02_runtime_exports/regions/back_farm/layers/back_farm_behind_player_structures.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_behind_player_structures; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_ysort_props_structures,02_runtime_exports/regions/back_farm/layers/back_farm_ysort_props_structures.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_ysort_props_structures; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_foreground_occlusion,02_runtime_exports/regions/back_farm/layers/back_farm_foreground_occlusion.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_foreground_occlusion; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_shadow_overlay,02_runtime_exports/regions/back_farm/layers/back_farm_shadow_overlay.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_shadow_overlay; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_light_weather_overlay_spring,02_runtime_exports/regions/back_farm/layers/back_farm_light_weather_overlay_spring.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_light_weather_overlay_spring; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_light_weather_overlay_summer,02_runtime_exports/regions/back_farm/layers/back_farm_light_weather_overlay_summer.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_light_weather_overlay_summer; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_light_weather_overlay_autumn,02_runtime_exports/regions/back_farm/layers/back_farm_light_weather_overlay_autumn.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_light_weather_overlay_autumn; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
batch_b_regions,region_layer,back_farm_light_weather_overlay_winter,02_runtime_exports/regions/back_farm/layers/back_farm_light_weather_overlay_winter.png,1600x1200,True,"Warm low-saturation storybook 2D game art, fixed 3/4 top-down rural village view, clear readable silhouettes, soft hand-painted texture, clean outlines, modular assets, cozy countryside life simulation, no combat, no horror, no modern sci-fi HUD. Paint one modular region runtime layer for back_farm_light_weather_overlay_winter; exact canvas 1600x1200 px; transparent background with clean alpha; keep the fixed 3/4 top-down world perspective, reusable layer edges, and no UI text.","Do not copy any existing game, anime, movie, or named artist style. No photorealism, no combat, no weapons, no monsters, no aggressive expressions, no text baked into gameplay art, no harsh neon, no heavy black shadows, no random crop, no wrong perspective, no visible watermark."
